number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
10123-1,Star Wars,Episode V,2003,Cloud City,8,698,57.6,38.4,7.2,1/10/03,31/03/2005
YODA-1,Star Wars,Promotional,2013,"Yoda minifig, NY I Heart Torso",1,3,,,,,
10143-1,Star Wars,Ultimate Collector Series,2005,Death Star II,,3441,59.3,51,21.2,1/9/05,31/12/2007
4521221-1,Star Wars,Minifig Pack,2007,Gold Chrome Plated C-3PO,1,1,,,,,
10179-1,Star Wars,Ultimate Collector Series,2007,Ultimate Collector's Millennium Falcon,5,5197,65.2,48,19.2,1/10/07,31/12/2009
SW117PROMO-1,Star Wars,Promotional,2005,Darth Vader (Nürnberg Toy Fair 2005 Exclusive Figure),1,2,,,,,
10018-1,Star Wars,Ultimate Collector Series,2001,Darth Maul,,1868,57.6,48,11.4,29/10/2001,31/10/2002
10030-1,Star Wars,Ultimate Collector Series,2002,Imperial Star Destroyer,,3096,59.3,51,21.2,6/12/02,31/12/2007
10019-1,Star Wars,Ultimate Collector Series,2001,Rebel Blockade Runner,,1747,65.2,48,11.4,5/11/01,31/12/2003
10195-1,Star Wars,The Clone Wars,2009,Republic Dropship with AT-OT Walker,8,1758,58.2,48,9.1,1/5/09,31/12/2011
COMCON001-1,Star Wars,Promotional,2008,Clone Wars (SDCC 2008 exclusive),5,351,,,,,
COMCON005-1,Star Wars,Promotional,2009,Collectable Display Set 2,3,2,,,,,
COMCON007-1,Star Wars,Promotional,2009,Collectable Display Set 5,3,4,,,,,
65153-1,Star Wars,Product Collection,2002,Jango Fett's Slave I with Bonus Cargo Case,,369,,,,,
7181-1,Star Wars,Ultimate Collector Series,2000,TIE Interceptor,,703,53.2,43.2,7.2,1/7/00,31/12/2001
10221-1,Star Wars,Ultimate Collector Series,2011,Super Star Destroyer ,5,3152,58.5,49,19,1/9/11,31/12/2014
75188-2,Star Wars,The Last Jedi,2018,Resistance Bomber (Finch Dallow version),6,778,,,,,
COMCON006-1,Star Wars,Promotional,2009,Collectable Display Set 4,3,15,,,,,
7191-1,Star Wars,Ultimate Collector Series,2000,X-wing Fighter,1,1300,59.2,43.2,7.2,1/7/00,28/02/2002
10212-1,Star Wars,Ultimate Collector Series,2010,Imperial Shuttle,5,2503,58.2,48,9.1,1/9/10,31/12/2012
7153-1,Star Wars,Episode II,2002,Jango Fett's Slave I,2,369,28.8,38.4,7.2,23/04/2002,31/12/2003
10026-1,Star Wars,Ultimate Collector Series,2002,Special Edition Naboo Starfighter,,187,28.8,28.8,6,1/10/02,31/12/2002
10175-1,Star Wars,Ultimate Collector Series,2006,Vader's TIE Advanced,,1212,57.6,38.4,9.6,1/10/06,31/12/2008
YODACHRON-1,Star Wars,Original Content,2013,Yoda Chronicles Promotional Set,3,408,,,,,
COMCON009-1,Star Wars,Promotional,2009,Collectable Display Set 6,3,5,,,,,
10129-1,Star Wars,Ultimate Collector Series,2003,Rebel Snowspeeder,,1457,57.6,38.4,9.6,29/09/2003,31/07/2005
COMCON008-1,Star Wars,Promotional,2009,Collectable Display Set 3,3,5,,,,,
7163-1,Star Wars,Episode II,2002,Republic Gunship,8,686,57.6,38.4,7.2,23/04/2002,31/12/2003
75159-1,Star Wars,Ultimate Collector Series,2016,Death Star,27,4016,58.5,49,19,1/10/16,31/12/2020
COMCON019-1,Star Wars,Promotional,2012,Sith Infiltrator (SDCC 2012 exclusive),1,84,,,,,
75313-1,Star Wars,Ultimate Collector Series,2021,AT-AT,9,6785,49.9,49.9,37.9,26/11/2021,31/12/2023
66473-1,Star Wars,Product Collection,2013,LEGO Star Wars Super Pack,,1360,,,,,
75192-1,Star Wars,Ultimate Collector Series,2017,Millennium Falcon,8,7541,53.3,46,38.5,1/10/17,31/12/2023
75252-1,Star Wars,Ultimate Collector Series,2019,Imperial Star Destroyer,2,4784,53.3,46,38.5,1/10/19,31/12/2022
10134-1,Star Wars,Ultimate Collector Series,2004,Y-wing Attack Starfighter,1,1473,57.6,38.4,9.6,1/10/04,31/07/2006
7662-1,Star Wars,Episode I,2007,Trade Federation MTT,21,1330,65.2,38.4,9.6,1/6/07,31/12/2008
CELEB2017-1,Star Wars,Promotional,2017,Detention Block Rescue,2,220,,,,,
75222-1,Star Wars,Master Builder Series,2018,Betrayal at Cloud City,21,2812,58.2,48,12.4,1/10/18,31/12/2019
COMCON024-1,Star Wars,Promotional,2012,Luke Skywalker's Landspeeder - Mini - New York Comic-Con 2012 Exclusive,1,110,,,,,
75331-1,Star Wars,Ultimate Collector Series,2022,The Razor Crest,,6187,52.3,48,23.8,3/10/22,31/12/2024
75053-1,Star Wars,Rebels,2014,The Ghost,4,929,54.0004,28.194,9.0932,1/6/14,31/12/2015
66512-1,Star Wars,Product Collection,2014,Rebels Co-Pack,,1163,,,,,
10188-1,Star Wars,Ultimate Collector Series,2008,Death Star,24,3803,58.801,50.1904,17.6022,1/9/08,31/12/2010
4504-1,Star Wars,Episode V,2004,Millennium Falcon,5,985,57.6,38.4,9.6,1/6/04,31/12/2005
8039-1,Star Wars,The Clone Wars,2009,Venator-Class Republic Attack Cruiser,5,1170,58.2,37.8,8.7,1/6/09,31/12/2011
7676-1,Star Wars,The Clone Wars,2008,Republic Attack Gunship,7,1034,65.2,38.4,9.6,26/07/2008,30/06/2010
7675-1,Star Wars,The Clone Wars,2008,AT-TE Walker,6,798,48,38.4,9.6,26/07/2008,30/06/2010
7261-2,Star Wars,Episode III,2006,"Clone Turbo Tank (non-light-up, 2006 edition)",8,813,,,,,
10178-1,Star Wars,Episode V,2007,Motorized Walking AT-AT,4,1137,57.6,38.4,7.2,1/10/07,31/12/2010
10174-1,Star Wars,Ultimate Collector Series,2006,Imperial AT-ST,,1068,48,38.4,7.2,1/7/06,31/12/2008
TF05-1,Star Wars,Promotional,2005,Toy Fair 2005 Star Wars V.I.P. Gala Set,3,53,,,,,
COMCON004-1,Star Wars,Promotional,2009,Collectable Display Set 1,3,5,,,,,
COMCON039-1,Star Wars,Rebels,2014,The Ghost Starship,1,132,,,,,
7194-1,Star Wars,Ultimate Collector Series,2002,Yoda,,1075,57.6,38.4,7.2,1/1/02,31/12/2003
75098-1,Star Wars,Ultimate Collector Series,2016,Assault on Hoth,15,2144,58.1914,48.006,9.0932,1/5/16,31/12/2017
10236-1,Star Wars,Ultimate Collector Series,2013,Ewok Village,17,1990,58.1914,48.006,9.0932,1/9/13,31/12/2016
4482-1,Star Wars,Episode II,2003,AT-TE,4,658,48,38.4,7.2,1/1/03,31/12/2004
65771-1,Star Wars,Product Collection,2005,Episode III Collectors' Set,,544,,,,,
75059-1,Star Wars,Ultimate Collector Series,2014,Sandcrawler,14,3296,58.1914,48.006,16.9926,1/5/14,31/12/2016
66456-1,Star Wars,Product Collection,2013,Star Wars Value Pack,,821,,,,,
6210-1,Star Wars,Episode VI,2006,Jabba's Sail Barge,8,781,48,38.4,7.2,1/6/06,31/12/2007
75021-1,Star Wars,Episode II,2013,Republic Gunship,7,1175,48,37.8,9.4,1/6/13,31/12/2014
7190-1,Star Wars,Episode IV,2000,Millennium Falcon,6,663,53.2,43.2,7.2,1/7/00,28/02/2002
10227-1,Star Wars,Ultimate Collector Series,2012,B-wing Starfighter,,1487,58.2,48,12.7,1/10/12,31/12/2013
7186-1,Star Wars,Episode I,2001,Watto's Junkyard,2,443,38.4,28.8,7.2,1/1/01,31/12/2001
FANEXPO001-1,Star Wars,Rebels,2014,The Ghost Starship (FAN EXPO edition),1,134,,,,,
75060-1,Star Wars,Ultimate Collector Series,2015,Slave I,5,1996,58.1914,37.7952,11.811,1/1/15,31/12/2018
65145-1,Star Wars,Product Collection,2002,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,,677,,,,,
77901-1,Star Wars,Promotional,2019,Sith Trooper Bust,,484,,,,,
7261-1,Star Wars,Episode III,2005,Clone Turbo Tank,7,801,57.6,38.4,9.6,2/4/05,1/4/06
4483-1,Star Wars,Episode V,2003,AT-AT,4,1064,57.6,38.4,9.6,1/6/03,31/12/2004
7283-1,Star Wars,Episode III,2005,Ultimate Space Battle,4,567,43.2,28.8,6,1/10/05,31/12/2005
COMCON015-1,Star Wars,Seasonal,2011,Advent calendar (SDCC 2011 exclusive),,266,,,,,
7260-1,Star Wars,Episode III,2005,Wookiee Catamaran,6,376,48,28.8,7.2,2/4/05,31/12/2005
7665-1,Star Wars,Episode I,2007,Republic Cruiser,5,919,57.6,38.4,7.2,1/9/07,31/12/2008
7964-1,Star Wars,The Clone Wars,2011,Republic Frigate,5,1015,58.19,37.8,8.71,1/6/11,31/12/2012
6211-1,Star Wars,Episode IV,2006,Imperial Star Destroyer,9,1367,65.2,38.4,9.6,1/6/06,31/12/2008
COMCON032-1,Star Wars,Promotional,2013,Jek-14 Mini Stealth Starfighter,1,127,,,,,
10144-1,Star Wars,Episode IV,2005,Sandcrawler,11,1669,57.6,38.4,9.6,15/06/2005,31/12/2008
CELEB2015-1,Star Wars,Promotional,2015,Tatooine Mini-build,1,178,,,,,
75181-1,Star Wars,Ultimate Collector Series,2018,Y-wing Starfighter,2,1967,58.2,37.8,11.8,4/5/18,31/12/2019
10240-1,Star Wars,Ultimate Collector Series,2013,Red Five X-wing Starfighter,1,1559,58.1914,37.7952,8.7122,1/6/13,31/12/2015
75020-1,Star Wars,Episode VI,2013,Jabba's Sail Barge,6,850,48,37.8,7.1,1/6/13,31/12/2014
COMCON010-1,Star Wars,The Clone Wars,2009,Mini Republic Dropship Mini AT-TE Brickmaster Pack (SDCC 2009 exclusive),,94,,,,,
9526-1,Star Wars,Episode III,2012,Palpatine's Arrest,6,645,54,28.2,7.9,1/8/12,31/12/2013
8098-1,Star Wars,The Clone Wars,2010,Clone Turbo Tank,6,1141,58.19,37.8,8.71,1/6/10,31/07/2012
9515-1,Star Wars,The Clone Wars,2012,Malevolence,6,1101,58.2,37.8,8.7,1/6/12,31/12/2013
9516-1,Star Wars,Episode VI,2012,Jabba's Palace,10,717,58.2,37.8,8.7,1/6/12,31/12/2013
66495-1,Star Wars,Product Collection,2014,Star Wars Value Pack,,840,,,,,
7672-1,Star Wars,Legends,2008,Rogue Shadow,3,482,48,28.8,7.2,1/1/08,31/12/2009
75144-1,Star Wars,Ultimate Collector Series,2017,Snowspeeder,2,1703,58.2,37.8,8.7,4/5/17,31/12/2018
75158-1,Star Wars,Rebels,2016,Rebel Combat Frigate,5,936,48,37.8,7.1,1/8/16,31/07/2017
75512-1,Star Wars,Promotional,2018,Millennium Falcon Cockpit,2,203,,,,,
10215-1,Star Wars,Ultimate Collector Series,2010,Obi-Wan's Jedi Starfighter,,676,48,37.8,7.1,1/11/10,31/12/2011
10186-1,Star Wars,Ultimate Collector Series,2008,General Grievous,,1085,38.4,48,7.2,1/5/08,31/12/2008
66377-1,Star Wars,Product Collection,2011,Star Wars Super Pack 3 in 1,,484,54,28.2,7.9,1/2/11,31/12/2011
75290-1,Star Wars,Master Builder Series,2020,Mos Eisley Cantina,21,3187,58.2,48,12.4,1/10/20,31/12/2023
8019-1,Star Wars,The Clone Wars,2009,Republic Attack Shuttle,3,636,54,28.2,7.85,1/1/09,31/12/2010
75191-1,Star Wars,Episode II,2017,Jedi Starfighter with Hyperdrive,4,825,35.4,37.8,9.4,1/6/17,31/12/2018
7264-1,Star Wars,Episode VI,2005,Imperial Inspection,10,367,48,28.8,6,1/3/05,31/12/2005
75012-1,Star Wars,The Clone Wars,2013,BARC Speeder with Sidecar,4,226,26.2,19.1,4.6,1/1/13,31/12/2014
10198-1,Star Wars,Episode IV,2009,Tantive IV,5,1408,0,0,0,1/9/09,31/12/2011
75025-1,Star Wars,The Old Republic,2013,Jedi Defender-class Cruiser,4,927,48,37.8,7.1,1/8/13,31/12/2014
10131-1,Star Wars,Legends,2004,TIE Fighter Collection,4,682,57.6,38.4,9.6,1/8/04,31/07/2006
75005-1,Star Wars,Episode VI,2013,Rancor Pit,4,380,48,28.2,7.4,1/1/13,31/12/2014
75309-1,Star Wars,Ultimate Collector Series,2021,Republic Gunship,2,3292,58.2,48,17,1/8/21,31/12/2023
4480-1,Star Wars,Episode VI,2003,Jabba's Palace,6,231,28.8,28.8,7.2,1/1/03,31/12/2004
COMCON011-1,Star Wars,Promotional,2009,Holo-Brick Archives (SDCC 2009 exclusive),,3,,,,,
4502-1,Star Wars,Episode V,2004,X-wing Fighter,3,563,38.4,28.8,7.2,,
75019-1,Star Wars,Episode II,2013,AT-TE ,5,794,54,28.2,7.8,1/6/13,31/12/2014
75055-1,Star Wars,Episode IV,2014,Imperial Star Destroyer,7,1359,58.1914,37.7952,10.3124,1/6/14,31/12/2015
9500-1,Star Wars,The Old Republic,2012,Sith Fury-class Interceptor,3,748,48,37.8,7.1,1/6/12,31/12/2013
75046-1,Star Wars,The Clone Wars,2014,Coruscant Police Gunship,4,481,38.2016,26.1874,7.0612,1/1/14,31/12/2015
66341-1,Star Wars,Product Collection,2010,Star Wars Super Pack 3 in 1,,342,48,37.8,7.1,1/2/10,31/12/2010
66395-1,Star Wars,Product Collection,2011,Star Wars Super Pack 3 in 1,,367,48,28.2,7.4,1/9/11,31/12/2011
75095-1,Star Wars,Ultimate Collector Series,2015,TIE Fighter,1,1685,58.1914,48.006,9.0932,1/5/15,31/12/2017
7681-1,Star Wars,The Clone Wars,2008,Separatist Spider Droid,5,206,28.8,28.8,6,26/07/2008,31/12/2009
9499-1,Star Wars,Episode I,2012,Gungan Sub,4,465,35.4,37.8,7.1,1/6/12,31/12/2013
2856197-1,Star Wars,Minifig Pack,2011,Shadow ARF Trooper,1,5,,,,,
8088-1,Star Wars,Episode III,2010,ARC-170 Starfighter,4,396,54,28.19,5.89,1/1/10,31/07/2012
7680-1,Star Wars,The Clone Wars,2008,The Twilight,4,882,57.6,38.4,9.6,26/07/2008,31/12/2009
7171-1,Star Wars,Episode I,1999,Mos Espa Podrace,10,896,53.2,38.4,7.2,1/4/99,31/12/2000
66479-1,Star Wars,Product Collection,2014,Value Pack,,1087,,,,,
7257-1,Star Wars,Episode III,2005,Ultimate Lightsaber Duel,2,282,38.4,28.8,7.2,2/4/05,31/12/2005
7140-1,Star Wars,Episode IV,1999,X-wing Fighter,4,266,33.6,24,6,22/02/1999,31/12/2001
8038-1,Star Wars,Episode VI,2009,The Battle of Endor,12,890,58.2,37.8,8.7,1/6/09,31/12/2011
75244-1,Star Wars,Episode IV,2019,Tantive IV,6,1768,58.2,37.8,10.3,4/5/19,31/12/2020
7142-1,Star Wars,Episode IV,2002,X-wing Fighter,4,267,33.6,24,6,1/10/02,31/12/2002
4481-1,Star Wars,Episode II,2003,Hailfire Droid,,681,38.4,28.8,9.6,1/6/03,31/12/2003
75058-1,Star Wars,Episode I,2014,MTT,12,954,48.006,37.7952,7.0612,1/8/14,31/12/2015
7133-1,Star Wars,Episode II,2002,Bounty Hunter Pursuit,3,259,28.8,28.8,4.8,23/04/2002,31/12/2003
7150-1,Star Wars,Episode IV,1999,TIE Fighter & Y-wing,3,409,43.2,28.8,6,22/02/1999,31/12/2000
7674-1,Star Wars,The Clone Wars,2008,V-19 Torrent,1,471,48,28.8,7.2,26/07/2008,31/12/2009
75151-1,Star Wars,Episode III,2016,Clone Turbo Tank,6,903,48.006,37.7952,7.0612,1/6/16,31/12/2017
5002123-1,Star Wars,The Old Republic,2014,Darth Revan,1,7,,,,,
7259-1,Star Wars,Episode III,2005,ARC-170 Fighter,4,396,43.2,28.8,6,1/3/05,31/12/2006
6209-1,Star Wars,Episode V,2006,Slave I,5,537,48,28.8,6,1/1/06,31/07/2007
9525-1,Star Wars,The Clone Wars,2012,Pre Vizsla's Mandalorian Fighter,3,403,35.4,37.8,7.1,1/8/12,31/12/2013
7868-1,Star Wars,The Clone Wars,2011,Mace Windu's Jedi Starfighter,5,309,38.2,26.2,4.7,1/1/11,31/12/2011
7262-1,Star Wars,Episode IV,2004,TIE Fighter and Y-Wing,3,412,48,28.8,6,1/9/04,31/01/2005
6176782-1,Star Wars,Promotional,2016,Escape the Space Slug,,161,,,,,
75190-1,Star Wars,The Last Jedi,2017,First Order Star Destroyer,7,1416,58.1914,37.7952,10.3124,1/9/17,31/12/2018
7661-1,Star Wars,Episode III,2007,Jedi Starfighter with Hyperdrive Booster Ring,2,575,48,28.8,7.2,1/6/07,31/12/2008
7752-1,Star Wars,The Clone Wars,2009,Count Dooku's Solar Sailer,4,385,48,28.2,7.4,1/2/09,31/12/2010
7255-1,Star Wars,Episode III,2005,General Grievous Chase,2,111,28.8,19.2,6,2/4/05,31/12/2005
CELEBVI-1,Star Wars,Promotional,2012,Mini Slave I,,80,,,,,
66308-1,Star Wars,Product Collection,2009,3 in 1 Superpack,,414,,,,,
75275-1,Star Wars,Ultimate Collector Series,2020,A-wing Starfighter,1,1673,58.2,37.8,8.7,1/5/20,31/12/2021
66396-1,Star Wars,Product Collection,2011,Star Wars Super Pack 3 in 1,,644,58.2,37.8,10.3,1/9/11,31/12/2011
75157-1,Star Wars,Rebels,2016,Captain Rex's AT-TE,5,972,48.006,37.7952,7.0612,1/6/16,31/12/2017
4501-1,Star Wars,Episode IV,2004,Mos Eisley Cantina,5,193,28.8,28.8,7.2,1/1/04,31/12/2004
7869-1,Star Wars,The Clone Wars,2011,Battle for Geonosis,5,331,38.2,26.2,5.7,1/1/11,31/12/2012
75045-1,Star Wars,The Clone Wars,2014,Republic AV-7 Anti-Vehicle Cannon,4,434,28.194,26.1874,7.5946,1/1/14,31/12/2015
8037-1,Star Wars,The Clone Wars,2009,Anakin's Y-wing Starfighter,3,570,54,28.2,7.85,1/6/09,31/12/2010
66432-1,Star Wars,Product Collection,2012,Super Pack 3-in-1,,763,,,,,
4479-1,Star Wars,Episode V,2003,TIE Bomber,1,230,28.8,28.8,6,1/1/03,1/4/05
7679-1,Star Wars,The Clone Wars,2008,Republic Fighter Tank,2,592,48,28.8,7.2,26/07/2008,31/12/2009
8018-1,Star Wars,The Clone Wars,2009,Armored Assault Tank (AAT),7,407,48.01,28.2,6.1,1/1/09,31/12/2010
65081-1,Star Wars,Product Collection,2002,R2-D2 / C-3PO Droid Collectors Set,,581,,,,,
75156-1,Star Wars,Rogue One,2016,Krennic's Imperial Shuttle,6,863,48.006,37.7952,7.0612,30/09/2016,31/07/2018
7155-1,Star Wars,Episode I,2000,Trade Federation AAT,2,158,28.8,19.2,6,1/5/00,31/12/2001
7965-1,Star Wars,Episode IV,2011,Millennium Falcon,6,1254,58.2,37.8,8.7,1/6/11,31/12/2014
75106-1,Star Wars,Rebels,2015,Imperial Assault Carrier,6,1216,48.006,37.7952,9.398,1/6/15,31/12/2016
7152-1,Star Wars,Episode IV,2002,TIE Fighter & Y-wing,3,410,43.2,28.8,6,1/10/02,31/12/2002
66366-1,Star Wars,Product Collection,2010,Star Wars Super Pack 3 in 1,,531,48,37.8,9.4,1/9/10,31/12/2010
75212-1,Star Wars,Solo,2018,Kessel Run Millennium Falcon,7,1414,58.2,37.8,8.7,20/04/2018,31/07/2019
75243-1,Star Wars,Episode V,2019,Slave I - 20th Anniversary Edition,6,1007,48,37.8,7.1,1/4/19,31/12/2020
8002-1,Star Wars,Technic,2000,Destroyer Droid,,558,28.8,28.8,7.2,1/1/00,31/12/2001
5005747-1,Star Wars,Promotional,2018,Black Card Display Stand,1,42,,,,,
7258-1,Star Wars,Episode III,2005,Wookiee Attack,5,366,38.4,28.8,6,2/4/05,31/12/2005
75094-1,Star Wars,Episode VI,2015, Imperial Shuttle Tydirium,5,937,35.4076,37.7952,9.398,1/6/15,31/12/2016
10225-1,Star Wars,Ultimate Collector Series,2012,R2-D2,1,2127,37.8,58.2,10.3,1/5/12,31/12/2014
7931-1,Star Wars,The Clone Wars,2011,T-6 Jedi Shuttle,4,389,35.41,37.8,7.06,1/1/11,31/12/2012
66378-1,Star Wars,Product Collection,2011,Star Wars Super Pack 3 in 1,,330,48,28.2,7.4,1/2/11,31/12/2011
75220-1,Star Wars,Episode IV,2018,Sandcrawler,6,1239,48,37.8,9.4,1/8/18,31/12/2019
75341-1,Star Wars,Ultimate Collector Series,2022,Luke Skywalker's Landspeeder,2,1890,58.2,37.8,8.7,4/5/22,31/12/2024
8129-1,Star Wars,Episode V,2010,AT-AT Walker,8,815,58.2,37.8,8.7,1/8/10,31/12/2011
7166-1,Star Wars,Episode VI,2001,Imperial Shuttle,4,238,28.8,28.8,7.2,1/1/01,31/12/2002
75308-1,Star Wars,Miscellaneous,2021,R2-D2,1,2314,37.8,58.2,10.3,1/5/21,31/12/2023
75170-1,Star Wars,Rebels,2017,The Phantom,3,269,35.4076,19.1008,5.8928,1/1/17,31/12/2017
75054-1,Star Wars,Episode V,2014,AT-AT,5,1137,48.006,37.7952,7.0612,1/6/14,31/12/2015
7126-1,Star Wars,Episode I,2001,Battle Droid Carrier,7,133,19.2,14.4,4.8,1/1/01,31/12/2001
75189-1,Star Wars,The Last Jedi,2017,First Order Heavy Assault Walker,5,1376,48.006,37.7952,9.398,1/9/17,31/07/2019
7751-1,Star Wars,The Clone Wars,2009,Ahsoka's Starfighter and Vulture Droid,4,291,38.2,26.2,5.7,1/1/09,31/12/2009
8097-1,Star Wars,Episode V,2010,Slave I,4,573,48.01,37.8,7.06,1/6/10,31/12/2011
75251-1,Star Wars,Miscellaneous,2019,Darth Vader's Castle,6,1060,,,,,
66431-1,Star Wars,Product Collection,2012,Super Pack 3-in-1,,298,,,,,
20006-1,Star Wars,The Clone Wars,2008,Clone Turbo Tank,,64,,,,,
4478-1,Star Wars,Episode II,2003,Geonosian Fighter,4,170,28.8,19.2,4.8,1/1/03,31/12/2004
7161-1,Star Wars,Episode I,1999,Gungan Sub,3,379,43.2,28.8,6,1/4/99,31/12/2000
75227-1,Star Wars,Promotional,2019,Darth Vader Bust,,327,26.2,28.2,5.9,1/4/19,31/12/2019
7184-1,Star Wars,Episode I,2000,Trade Federation MTT,7,470,38.4,28.8,7.2,1/5/00,31/12/2001
7256-1,Star Wars,Episode III,2005,Jedi Starfighter and Vulture Droid,1,202,28.8,19.2,7.2,1/2/05,31/12/2006
7879-1,Star Wars,Episode V,2011,Hoth Echo Base,8,773,48,37.8,7.1,1/8/11,31/12/2013
75155-1,Star Wars,Rogue One,2016,Rebel U-wing Fighter,5,659,54.0004,28.194,5.8928,30/09/2016,31/07/2018
75082-1,Star Wars,Rebels,2015,TIE Advanced Prototype,3,355,28.194,26.2128,5.8928,1/1/15,31/12/2016
2853590-1,Star Wars,Minifig Pack,2010,Chrome Stormtrooper,1,5,,,,,
7754-1,Star Wars,Episode VI,2009,Home One Mon Calamari Star Cruiser,6,789,58.2,37.8,8.7,1/8/09,31/12/2010
75092-1,Star Wars,Episode I,2015,Naboo Starfighter,9,442,38.2016,26.2128,5.6642,1/6/15,31/12/2016
75103-1,Star Wars,The Force Awakens,2015,First Order Transporter,7,792,54.0004,28.194,5.8928,4/9/15,31/12/2016
75253-1,Star Wars,Boost,2019,Droid Commander,,1177,54,28.2,9.1,15/07/2019,31/12/2020
75179-1,Star Wars,The Last Jedi,2017,Kylo Ren's TIE Fighter,4,630,54.0004,28.194,7.8486,1/9/17,31/12/2018
7962-1,Star Wars,Episode I,2011,Anakin Skywalker and Sebulba's Podracers,5,810,48.01,37.8,7.06,1/6/11,31/12/2012
8128-1,Star Wars,The Clone Wars,2010,Cad Bane's Speeder,5,318,48,28.2,6.1,1/8/10,31/12/2011
7753-1,Star Wars,The Clone Wars,2009,Pirate Tank,3,372,38.2,26.2,5.7,1/8/09,31/12/2010
3341-1,Star Wars,Minifig Pack,2000,"Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett",3,22,,,,,
66542-1,Star Wars,Product Collection,2016,Microfighters Super Pack 3 in 1,,267,,,,,
7144-1,Star Wars,Episode V,2000,Slave I,2,166,19.2,28.8,6,1/1/00,31/12/2001
75013-1,Star Wars,The Clone Wars,2013,Umbaran MHC (Mobile Heavy Cannon),4,493,38.2,26.2,5.7,1/1/13,31/12/2014
75017-1,Star Wars,Episode II,2013,Duel on Geonosis,4,391,38.2,26.2,5.6,1/6/13,31/12/2014
7666-1,Star Wars,Episode V,2007,Hoth Rebel Base,8,548,48,28.8,7.2,1/9/07,31/12/2008
75051-1,Star Wars,Original Content,2014,Jedi Scout Fighter,4,490,48.006,28.194,6.096,1/6/14,31/12/2015
75096-1,Star Wars,Episode I,2015,Sith Infiltrator,8,662,54.0004,28.194,7.8486,1/8/15,31/12/2016
75018-1,Star Wars,Original Content,2013,JEK-14's Stealth Starfighter,4,550,48,28.2,6.1,1/6/13,31/12/2014
75105-1,Star Wars,The Force Awakens,2015,Millennium Falcon,7,1329,58.1914,37.7952,8.7122,4/9/15,31/12/2017
